from,to,relation
6,1,3
6,3,2
6,5,2
7,1,3
7,5,3
7,3,3
7,30,3
7,2,3
26,3,2
26,6,2
26,5,2
26,1,3
26,29,3
5,1,3
5,3,2
5,2,3
5,7,3
1,29,5
3,5,2
3,1,3
3,30,3
2,4,1
2,27,1
2,9,2
2,1,2
2,28,1
4,2,1
4,28,1
4,27,1
4,1,3
4,29,3
27,29,2
27,4,1
27,2,1
27,28,1
27,1,3
28,29,3
28,1,3
28,27,1
28,4,1
28,2,1
29,7,2
29,2,3
29,4,3
29,28,3
29,27,2
30,7,2
30,2,3
30,3,3
30,5,3
30,1,3
31,3,3
31,5,3
15,24,4
16,24,2
19,24,3
20,11,3
22,11,2
22,23,2
47,1,2
51,3,2
51,5,2
51,1,4
36,54,2
36,24,2
23,35,3
25,34,3
23,35,3
38,11,2
7,2,3
40,41,2
